"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"C301";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C302";"1u";"C_POL_EU_T_RAD5_GRID_2.54";"T_RADIAL_5MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_1u_Vmax_50V";"";"";
"C303";"100u";"C_POL_EU_T_RAD7_GRID_2.54";"T_RADIAL_7MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2014-10-13";"";"C_PAC_T_RADIAL_7mm_GRID_2.54mm_VAL_100u_Vmax_35V";"";"";
"C304";"100u";"C_POL_EU_T_RAD7_GRID_2.54";"T_RADIAL_7MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2014-10-13";"";"C_PAC_T_RADIAL_7mm_GRID_2.54mm_VAL_100u_Vmax_35V";"";"";
"C305";"100u";"C_POL_EU_T_RAD7_GRID_2.54";"T_RADIAL_7MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2014-10-13";"";"C_PAC_T_RADIAL_7mm_GRID_2.54mm_VAL_100u_Vmax_35V";"";"";
"C306";"100u";"C_POL_EU_T_RAD7_GRID_2.54";"T_RADIAL_7MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2014-10-13";"";"C_PAC_T_RADIAL_7mm_GRID_2.54mm_VAL_100u_Vmax_35V";"";"";
"C307";"1u";"C_POL_EU_T_RAD5_GRID_2.54";"T_RADIAL_5MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_1u_Vmax_50V ";"";"";
"C801";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C802";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C901";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1001";"10n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_10n";"";"";
"C1101";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1102";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1103";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
