"BILL OF MATERIAL";
"------------------------------";
"board:";"bom_created_by_eagle_ulp";

"created by";"STOCK MANAGER";"V010";
"contact:";"www.blunk-electronic.de";
"date:";"2015-08-03 14:49:25";"(YYYY-MM-DD HH:MM:SS)";

"part count SMD:";"58";
"part count THT:";"64";
"part count TOTAL:";"122";

"POS.";"QTY";"PART_NAME";"PART_CODE_BEL";"PART_ID";"MANUFACTURER / PART_CODE";"MANUFACTURER / PART_CODE";"MANUFACTURER / PART_CODE";"PRICE_NET_MIN";"PRICE_NET_MAX";

"1";"21";"C301, C801, C802, C901, C1101, C1102, C1103, C1104, C1105, C1106, C1107, C1108, C1109, C1110, C1111, C1201, C1202, C1203, C1204, C1301, C1304";"C_PAC_S_0805_VAL_100n";"13";"AVX / 08055C104JAT2A";"n/a / n/a";"test_manu / n/a";"0.21";"0.84";
"2";"4";"C302, C307, C1302, C1306";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_1u_Vmax_50V";"38";"PANASONIC / EEUHD1H1R0";"n/a / n/a";"n/a / n/a";"1.44";"1.44";
"3";"4";"C303, C304, C305, C306";"C_PAC_T_RADIAL_7mm_GRID_2.54mm_VAL_100u_Vmax_35V";"40";"RUBYCON / 35PK100MEFC6.3X11";"n/a / n/a";"n/a / n/a";"0.12";"1.12";
"4";"1";"C1001";"C_PAC_S_0805_VAL_10n";"15";"AVX / 08055C103JAT2A";"YAGEO / CC0805JRX7R9BB103";"n/a / n/a";"0.01";"0.02";
"5";"2";"C1303, C1305";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_10u_Vmax_35V";"37";"PANASONIC / ECA1VAD100X";"n/a / n/a";"n/a / n/a";"0.06";"0.48";
"6";"4";"D901, D902, D903, D904";"D_PAC_T_DO204_GRID_10mm_VAL_BAT48";"47";"VISHAY / BAT48-TAP";"n/a / n/a";"n/a / n/a";"0.36";"0.36";
"7";"1";"IC201";"IC_PAC_S_TQFP144_VAL_XC2C384-10TQG144C";"74";"XILINX / XC2C384-10TQG144C";"n/a / n/a";"n/a / n/a";"25.00";"25.00";
"8";"3";"IC301, IC1301, IC1302";"IC_PAC_T_TO220-3_VERTICAL_VAL_LM1117T-ADJ";"89";"TEXAS-INSTR. / LM1117T-ADJ";"n/a / n/a";"n/a / n/a";"2.91";"3.57";
"9";"3";"IC401, IC402, IC1201";"IC_PAC_S_SO16_VAL_ULN2003D";"64";"TEXAS-INSTR. / ULN2003AD";"n/a / n/a";"n/a / n/a";"0.60";"1.14";
