"MATERIAL ON STOCK";
"------------------------------";
"created by STOCK MANAGER";"V013";
"date:";"2019-04-12 16:20:13";"(YYYY-MM-DD HH:MM:SS)";

"PART_ID";"PART_CODE_BEL";"DATE_EDITED";"QTY_ON_STOCK";"QTY_RESERVED";"QTY_AVAILABLE";"MANUFACTURER_1_NAME";"PART_CODE";"DATE_EDITED";"STATUS_PRODUCTION";"URL_DATASHEET_1";"URL_DATASHEET_2";"MANUFACTURER_2_NAME";"PART_CODE";"DATE_EDITED";"STATUS_PRODUCTION";"URL_DATASHEET_1";"URL_DATASHEET_2";"MANUFACTURER_3_NAME";"PART_CODE";"DATE_EDITED";"STATUS_PRODUCTION";"URL_DATASHEET_1";"URL_DATASHEET_2";"DISTRIBUTOR_1_NAME";"ORDER_CODE";"DATE_EDITED";"QTY_MIN";"PRICE_NET";"DISTRIBUTOR_2_NAME";"ORDER_CODE";"DATE_EDITED";"QTY_MIN";"PRICE_NET";"DISTRIBUTOR_3_NAME";"ORDER_CODE";"DATE_EDITED";"QTY_MIN";"PRICE_NET";"DISTRIBUTOR_4_NAME";"ORDER_CODE";"DATE_EDITED";"QTY_MIN";"PRICE_NET";"DISTRIBUTOR_5_NAME";"ORDER_CODE";"DATE_EDITED";"QTY_MIN";"PRICE_NET";"DISTRIBUTOR_6_NAME";"ORDER_CODE";"DATE_EDITED";"QTY_MIN";"PRICE_NET";"STORAGE_PLACE";"REMARKS";"PROJECT";
"1";"C_PAC_S_0402_VAL_100n_Vmax_25V";"2015-03-13 17:10:34";"0";"0";"0";"multicomp";"MC0402X104K250CT";"2015-03-13 17:48:17";"UNKNOWN";"http://www.farnell.com/datasheets/1723208.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"2320760";"2015-03-13 18:01:07";"10";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"2";"C_PAC_S_0402_VAL_18p";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"04025A180JAT2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.avx.com/docs/Catalogs/ccog.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1740572";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"3";"C_PAC_S_0603_VAL_100n";"2015-03-13 17:10:34";"0";"0";"0";"AVX";"06035C104JAT2A";"2015-03-26 10:17:26";"ACTIVE";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1740621";"2015-03-26 10:15:25";"10";"0.13";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"4";"C_PAC_S_0603_VAL_100n_Vmax_100V";"2016-02-29 16:52:58";"0";"0";"0";"MURATA";"GRM188R72A104KA35D";"2015-11-17 17:24:02";"ACTIVE";"http://www.farnell.com/datasheets/1747473.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1828921";"2015-11-17 17:24:48";"10";"0.10";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/8";"n/a";"n/a";
"5";"C_PAC_S_0603_VAL_10n";"2016-02-29 16:52:58";"6";"0";"6";"AVX";"06031C103JAT2A";"2015-11-17 17:25:54";"ACTIVE";"http://www.farnell.com/datasheets/1679506.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1833876";"2015-11-17 17:26:33";"10";"0.03";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/8";"n/a";"n/a";
"6";"C_PAC_S_0603_VAL_10n_Vmax_50V";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"06035C103JAT2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1833871";"2015-04-08 09:17:11";"10";"0.03";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"7";"C_PAC_S_0603_VAL_12p";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"06035A120JAT2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/84508.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1462447";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"8";"C_PAC_S_0603_VAL_16p";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"C0603C160J5GACTU";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1691965.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1865474";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"9";"C_PAC_S_0603_VAL_2u2_Vmax_16V";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"0603YD225MAT2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1666675.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"2332678";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"10";"C_PAC_S_0603_VAL_33p";"2016-02-29 10:27:37";"28";"0";"28";"AVX";"0603YC330JAT2A";"2016-02-29 10:51:35";"ACTIVE";"http://www.farnell.com/datasheets/1679506.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"2332671";"2016-02-29 10:53:21";"10";"0.16";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/8";"n/a";"n/a";
"11";"C_PAC_S_0603_VAL_470n_Vmax_25V";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"06033C474KAT2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1867949";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"12";"C_PAC_S_0603_VAL_9p";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"MCCA000191";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1723208.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1759052";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"13";"C_PAC_S_0805_VAL_100n";"2019-04-12 16:20:13";"248";"0";"248";"AVX";"08055C104JAT2A";"2015-03-19 17:52:57";"ACTIVE";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"n/a";"n/a";"2015-03-19 17:46:09";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"REICHELT";"X7R-G0805 100N";"2015-03-17 14:43:21";"1";"0.04";"AX";"16769";"2015-07-24 14:50:52";"10";"0.02";"FARNELL";"1740673";"2015-03-17 14:45:24";"10";"0.01";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S40";"vmax=50V";"n/a";
"14";"C_PAC_S_0805_VAL_100n_Vmax_100V";"2015-05-12 12:14:53";"5";"0";"5";"unknown";"08051C104JAT2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1679506.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"2332715";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/1";"n/a";"n/a";
"15";"C_PAC_S_0805_VAL_10n";"2015-12-15 16:40:05";"30";"0";"30";"AVX";"08055C103JAT2A";"2015-03-17 15:12:39";"ACTIVE";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"YAGEO";"CC0805JRX7R9BB103";"2015-07-24 14:15:51";"ACTIVE";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"AX";"14218";"2015-07-24 12:07:11";"1";"0.02";"FARNELL";"1740669";"2015-03-17 15:11:55";"10";"0.01";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/1";"n/a";"n/a";
"16";"C_PAC_S_0805_VAL_10n_Vmax_100V";"2015-05-12 12:11:28";"1";"0";"1";"unknown";"08051C103KAZ2A";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1679506.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1301898";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/1";"n/a";"n/a";
"17";"C_PAC_S_0805_VAL_12p";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"C0805C120J5GACTU";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1732692.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1414666";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
"18";"C_PAC_S_0805_VAL_18p";"2015-05-12 12:47:22";"6";"0";"6";"unknown";"MC0805N180J500CT";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1723208.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1759194";"2015-04-08 09:40:25";"10";"0.02";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/1";"n/a";"n/a";
"19";"C_PAC_S_0805_VAL_2u2_Vmax_25V";"2015-10-23 10:08:57";"6";"0";"6";"AVX";"08053C225KAT2A";"2015-10-20 15:24:14";"ACTIVE";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"AX";"50962";"2015-10-22 11:38:17";"1";"0.15";"DIGIKEY";"478-5719-1-ND";"2015-10-20 15:23:33";"1";"0.90";"FARNELL";"1657931";"2015-04-08 09:14:23";"5";"0.31";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/12";"n/a";"n/a";
"20";"C_PAC_S_0805_VAL_470n_Vmax_100V";"2015-12-15 16:40:05";"32";"0";"32";"AVX";"08051C474K4Z2A";"2015-07-16 11:22:28";"ACTIVE";"http://www.avx.com/docs/Catalogs/cx7r.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"AX";"794946";"2015-11-19 09:27:08";"1";"0.32";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1867963";"2015-04-07 11:11:06";"5";"0.77";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"S1/6";"n/a";"n/a";
"21";"C_PAC_S_0805_VAL_9p";"2015-03-13 17:10:34";"0";"0";"0";"unknown";"MCCA000317";"2015-03-13 17:10:34";"UNKNOWN";"http://www.farnell.com/datasheets/1723208.pdf";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"UNKNOWN";"n/a";"n/a";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"FARNELL";"1759189";"2015-04-08 09:44:10";"100";"0.01";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"0000-00-00 00:00:00";"1";"0.00";"n/a";"n/a";"n/a";
